Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",Continent,yoy_growth,growth_3y,growth_5y,growth_10y,cagr_5y,ma_3y,ma_5y,ma_10y,trend_vs_ma3,trend_vs_ma5,trend_vs_ma10,ma5_slope,volatility_5y,cv_growth_5y,gdp_volatility_5y,risk_adjusted_performance,max_drawdown_5y,in_recession,in_recovery,economic_phase,crisis_year,years_since_recession,world_avg_gdp,continent_avg_gdp,gdp_vs_world,gdp_vs_continent,world_avg_growth,growth_vs_world,world_percentile,continent_percentile,income_classification
Afghanistan,AFG,2010,2848.586,Asia,11.055,32.163,49.288,76.075,8.344,2535.038,2338.038,2041.957,12.369,21.837,39.503,172.858,6.902,81.006,365.29,1.234,-32.257,False,False,growth,False,0,23393.014,23631.172,-87.823,-87.946,3.046,8.009,13.744,4.545,Low Income
Afghanistan,AFG,2011,2757.052,Asia,-3.213,25.806,42.873,89.604,7.396,2723.554,2503.504,2172.251,1.23,10.128,26.921,176.78,8.214,107.355,318.475,0.931,-24.336,False,False,stable,False,0,23939.923,24661.921,-88.483,-88.821,2.571,-5.784,12.264,4.545,Low Income
Afghanistan,AFG,2012,2985.319,Asia,8.279,16.386,38.507,68.253,6.732,2863.653,2669.497,2293.352,4.249,11.831,30.173,165.729,7.931,113.812,307.764,0.879,-26.591,False,True,recovery,False,0,24092.886,24886.489,-87.609,-88.004,2.044,6.236,13.208,4.545,Low Income
Afghanistan,AFG,2013,3046.58,Asia,2.052,6.951,39.018,67.77,6.811,2929.65,2840.512,2416.417,3.991,7.255,26.078,168.504,7.87,111.735,191.284,0.895,-15.807,False,False,stable,False,0,24184.98,24958.987,-87.403,-87.794,1.543,0.509,12.676,4.545,Lower Middle Income
Afghanistan,AFG,2014,3017.943,Asia,-0.94,9.463,17.658,69.841,3.306,3016.614,2931.096,2540.52,0.044,2.963,18.792,130.8,6.058,175.758,123.408,0.569,-9.503,False,False,stable,False,0,24398.764,24949.878,-87.631,-87.904,1.854,-2.794,12.207,4.545,Lower Middle Income
Afghanistan,AFG,2015,2967.692,Asia,-1.665,-0.59,4.181,55.53,0.823,3010.738,2954.917,2646.478,-1.43,0.432,12.137,57.203,4.546,503.652,114.687,0.199,-9.503,False,False,stable,False,0,24529.067,25020.621,-87.901,-88.139,1.521,-3.186,11.737,2.273,Low Income
Afghanistan,AFG,2016,2958.785,Asia,-0.3,-2.882,7.317,53.327,1.422,2981.473,2995.264,2749.384,-0.761,-1.218,7.616,32.084,4.046,272.4,36.529,0.367,-2.882,False,False,stable,False,0,24834.897,25221.41,-88.086,-88.269,1.784,-2.084,10.798,2.273,Low Income
Afghanistan,AFG,2017,2952.999,Asia,-0.196,-2.152,-1.083,37.008,-0.217,2959.826,2988.8,2829.148,-0.231,-1.198,4.378,16.941,1.394,664.763,41.279,-0.15,-3.072,False,False,stable,False,0,25301.11,25435.754,-88.329,-88.39,2.099,-2.294,11.268,2.273,Low Income
Afghanistan,AFG,2018,2902.392,Asia,-1.714,-2.2,-4.733,32.438,-0.965,2938.059,2959.962,2900.237,-1.214,-1.945,0.074,-17.651,0.722,74.987,41.188,-1.332,-3.829,False,False,stable,False,0,25773.885,25917.057,-88.739,-88.801,1.983,-3.697,11.268,2.273,Low Income
Afghanistan,AFG,2019,2927.245,Asia,0.856,-1.066,-3.005,14.122,-0.608,2927.545,2941.823,2936.459,-0.01,-0.496,-0.314,-23.489,1.09,180.507,26.689,-0.553,-2.2,False,False,stable,False,0,26131.821,26273.375,-88.798,-88.859,1.808,-0.952,10.798,2.273,Low Income
Afghanistan,AFG,2020,2769.686,Asia,-5.383,-6.208,-6.672,-2.77,-1.372,2866.441,2902.221,2928.569,-3.375,-4.567,-5.425,-28.87,2.434,180.675,77.411,-0.553,-6.391,False,False,crisis,True,0,24296.883,24938.803,-88.601,-88.894,-5.789,0.406,10.798,2.273,Low Income
Afghanistan,AFG,2021,2144.166,Asia,-22.584,-26.124,-27.532,-22.23,-6.238,2613.699,2739.298,2867.281,-17.964,-21.726,-25.22,-101.263,9.674,166.669,340.109,-0.6,-27.39,True,False,recession,False,0,25822.605,26370.153,-91.697,-91.869,4.844,-27.428,5.164,2.273,Low Income
Afghanistan,AFG,2022,1981.71,Asia,-7.577,-32.301,-32.892,-33.618,-7.667,2298.521,2545.04,2766.92,-13.783,-22.134,-28.378,-178.591,9.153,125.722,447.852,-0.795,-32.301,True,False,recession,False,0,26398.355,26987.188,-92.493,-92.657,3.104,-10.681,5.189,2.273,Low Income
Afghanistan,AFG,2023,1992.424,Asia,0.541,-28.063,-31.352,-34.601,-7.248,2039.434,2363.046,2661.504,-2.305,-15.684,-25.139,-188.126,9.543,139.733,451.21,-0.716,-32.301,False,False,stable,False,1,26897.137,28311.921,-92.592,-92.963,2.098,-1.558,5.34,2.439,Low Income
Albania,ALB,1990,5407.325,Europe,,,,,,5407.325,5407.325,5407.325,0.0,0.0,0.0,,,,,,,False,False,stable,False,0,16421.927,30638.111,-67.073,-82.351,,,37.186,5.128,Lower Middle Income
Albania,ALB,1991,3916.697,Europe,-27.567,,,,,4662.011,4662.011,4662.011,-15.987,-15.987,-15.987,,,,1054.033,,,False,False,crisis,True,0,16105.559,29998.393,-75.681,-86.944,-1.126,-26.44,29.5,5.128,Lower Middle Income
Albania,ALB,1992,3657.312,Europe,-6.623,,,,,4327.111,4327.111,4327.111,-15.479,-15.479,-15.479,-540.107,14.81,86.634,944.439,-1.154,,True,False,recession,False,0,16042.165,29259.132,-77.202,-87.5,-0.726,-5.896,29.0,5.128,Lower Middle Income
Albania,ALB,1993,4031.453,Europe,10.23,-25.445,,,,3868.487,4253.197,4253.197,4.213,-5.214,-5.214,-204.407,18.935,237.092,785.173,-0.422,,False,True,recovery,False,1,16063.7,28944.534,-74.903,-86.072,-0.146,10.376,32.5,5.128,Lower Middle Income
Albania,ALB,1994,4393.065,Europe,8.97,12.162,,,,4027.277,4281.17,4281.17,9.083,2.614,2.614,-22.97,17.633,470.527,682.851,-0.213,-32.364,False,False,growth,False,2,16231.993,29416.269,-72.936,-85.066,0.284,8.685,34.328,5.128,Lower Middle Income
Albania,ALB,1995,5009.17,Europe,14.024,36.963,-7.363,,-1.518,4477.896,4201.539,4402.504,11.864,19.222,13.78,-25.829,17.215,8918.046,523.258,-0.011,-26.988,False,False,growth,False,3,16509.588,29657.936,-69.659,-83.11,2.393,11.631,37.129,5.0,Lower Middle Income
Albania,ALB,1996,5499.076,Europe,9.78,36.404,40.401,,7.022,4967.104,4518.015,4559.157,10.71,21.714,20.616,118.422,8.009,110.069,741.093,0.908,-33.492,False,False,growth,False,4,16825.344,30385.741,-67.317,-81.902,2.884,6.896,37.624,5.0,Lower Middle Income
Albania,ALB,1997,4929.311,Europe,-10.361,12.207,34.78,,6.151,5145.852,4772.415,4605.426,-4.208,3.288,7.033,285.438,9.64,147.65,570.446,0.677,-26.689,False,False,crisis,True,5,17646.345,31990.146,-72.066,-84.591,3.924,-14.285,34.314,2.381,Lower Middle Income
Albania,ALB,1998,5398.408,Europe,9.516,7.771,33.907,,6.013,5275.598,5045.806,4693.535,2.328,6.988,15.018,263.895,9.576,149.956,438.966,0.667,-20.113,False,True,recovery,False,6,17930.839,33152.456,-69.893,-83.716,2.035,7.481,35.784,2.381,Lower Middle Income
Albania,ALB,1999,6133.027,Europe,13.608,11.528,39.607,,6.901,5486.915,5393.798,4837.484,11.775,13.705,26.781,310.692,10.099,138.09,479.909,0.724,-19.627,False,False,growth,False,7,18258.355,34221.811,-66.41,-82.079,1.717,11.891,39.216,4.762,Lower Middle Income
Albania,ALB,2000,6600.978,Europe,7.63,33.913,31.778,22.075,5.674,6044.138,5712.16,4956.85,9.213,15.56,33.169,333.177,9.419,156.081,656.473,0.641,-25.325,False,False,growth,False,8,18926.987,35714.493,-65.124,-81.517,3.219,4.411,40.291,4.762,Lower Middle Income
Albania,ALB,2001,7215.82,Europe,9.314,33.666,31.219,84.232,5.584,6649.942,6055.509,5286.762,8.51,19.161,36.488,330.855,9.375,157.786,915.146,0.634,-31.687,False,False,growth,False,9,19190.346,36672.51,-62.399,-80.324,1.772,7.543,40.291,4.762,Lower Middle Income
Albania,ALB,2002,7565.821,Europe,4.85,23.362,53.486,106.868,8.947,7127.54,6582.811,5677.613,6.149,14.933,33.257,435.325,3.19,35.503,862.041,2.816,-28.647,False,False,growth,False,10,19601.423,37384.75,-61.402,-79.762,1.932,2.919,40.097,4.762,Lower Middle Income
Albania,ALB,2003,8014.037,Europe,5.924,21.407,48.452,98.788,8.222,7598.559,7105.937,6075.871,5.468,12.779,31.899,525.214,3.435,41.556,749.958,2.406,-23.471,False,False,growth,False,11,20061.665,38182.611,-60.053,-79.011,2.558,3.366,42.029,4.762,Lower Middle Income
Albania,ALB,2004,8491.398,Europe,5.957,17.678,38.454,93.291,6.724,8023.752,7577.611,6485.705,5.828,12.059,30.925,497.4,1.751,26.003,726.346,3.843,-22.263,False,False,growth,False,12,20914.556,39482.814,-59.4,-78.493,4.326,1.63,42.029,4.762,Lower Middle Income
Albania,ALB,2005,9006.646,Europe,6.068,19.044,36.444,79.803,6.412,8504.027,8058.744,6885.452,5.91,11.762,30.807,476.404,1.69,26.314,714.353,3.798,-19.883,False,False,growth,False,13,21513.315,40628.311,-58.135,-77.832,3.588,2.48,42.512,4.762,Lower Middle Income
Albania,ALB,2006,9598.646,Europe,6.573,19.773,33.022,74.55,5.873,9032.23,8535.31,7295.409,6.271,12.458,31.571,478.849,0.629,10.709,801.0,9.323,-21.178,False,False,growth,False,14,22702.237,42282.716,-57.719,-77.299,4.234,2.338,42.788,4.762,Lower Middle Income
Albania,ALB,2007,10250.128,Europe,6.787,20.712,35.479,107.942,6.261,9618.473,9072.171,7827.491,6.567,12.984,30.95,506.713,0.393,6.275,884.025,15.895,-21.815,False,False,growth,False,15,23408.29,44019.887,-56.212,-76.715,3.908,2.879,42.788,4.762,Upper Middle Income
Albania,ALB,2008,11103.77,Europe,8.328,23.284,38.554,105.686,6.739,10317.515,9690.118,8398.027,7.621,14.589,32.219,577.404,0.951,14.105,1027.674,7.082,-23.527,False,False,growth,False,16,23609.286,44162.16,-52.969,-74.857,2.303,6.025,43.81,4.762,Upper Middle Income
Albania,ALB,2009,11553.821,Europe,4.053,20.369,36.065,88.387,6.353,10969.24,10302.602,8940.107,5.329,12.145,29.236,615.216,1.542,24.235,1047.047,4.124,-22.046,False,False,growth,False,17,22804.125,41634.183,-49.335,-72.249,-1.433,5.486,45.498,4.762,Upper Middle Income
Albania,ALB,2010,12041.749,Europe,4.223,17.479,33.698,82.424,5.98,11566.447,10909.623,9484.184,4.109,10.377,26.967,609.753,1.825,30.445,985.899,3.283,-20.289,False,False,growth,False,18,23393.014,42172.183,-48.524,-71.446,3.046,1.177,45.498,4.762,Upper Middle Income
Albania,ALB,2011,12381.524,Europe,2.822,11.507,28.992,71.589,5.224,11992.365,11466.199,10000.754,3.245,7.983,23.806,581.798,2.248,42.887,834.706,2.331,-17.214,False,False,stable,False,19,23939.923,42664.006,-48.281,-70.979,2.571,0.251,45.755,4.762,Upper Middle Income
Albania,ALB,2012,12577.756,Europe,1.585,8.862,22.708,66.244,4.178,12333.676,11931.724,10501.948,1.979,5.414,19.766,511.051,2.54,60.44,604.173,1.654,-11.719,False,False,stable,False,20,24092.886,42367.772,-47.795,-70.313,2.044,-0.459,44.34,4.762,Upper Middle Income
Albania,ALB,2013,12727.083,Europe,1.187,5.691,14.619,58.81,2.767,12562.121,12256.387,10973.252,1.313,3.84,15.983,395.094,1.385,49.919,469.084,2.002,-9.219,False,False,stable,False,21,24184.98,42570.023,-47.376,-70.103,1.543,-0.356,43.662,4.762,Upper Middle Income
Albania,ALB,2014,12979.765,Europe,1.985,4.832,12.342,52.858,2.355,12761.535,12541.575,11422.089,1.71,3.494,13.637,304.926,1.204,51.017,354.674,1.958,-7.227,False,False,stable,False,22,24398.764,43277.861,-46.802,-70.008,1.854,0.131,44.131,4.762,Upper Middle Income
Albania,ALB,2015,13306.443,Europe,2.517,5.793,10.503,47.74,2.017,13004.43,12794.514,11852.069,2.322,4.001,12.271,269.064,0.666,32.977,360.028,3.028,-6.951,False,False,stable,False,23,24529.067,44416.114,-45.752,-70.041,1.521,0.996,43.662,4.762,Upper Middle Income
Albania,ALB,2016,13769.547,Europe,3.48,8.191,11.21,43.453,2.148,13351.918,13072.119,12269.159,3.128,5.335,12.229,265.272,0.891,41.438,477.83,2.411,-8.655,False,False,growth,False,24,24834.897,45347.706,-44.556,-69.636,1.784,1.696,44.601,4.762,Upper Middle Income
Albania,ALB,2017,14306.299,Europe,3.898,10.22,13.743,39.572,2.609,13794.096,13417.827,12674.776,3.713,6.622,12.872,311.657,1.1,42.087,631.372,2.374,-11.039,False,False,growth,False,25,25301.11,46570.85,-43.456,-69.281,2.099,1.799,44.131,4.762,Upper Middle Income
Albania,ALB,2018,14918.081,Europe,4.276,12.112,17.215,34.351,3.228,14331.309,13856.027,13056.207,4.094,7.665,14.26,391.954,0.957,29.608,775.896,3.374,-12.993,False,False,growth,False,26,25773.885,47686.546,-42.119,-68.716,1.983,2.293,45.54,4.762,Upper Middle Income
Albania,ALB,2019,15290.777,Europe,2.498,11.048,17.805,32.344,3.331,14838.386,14318.229,13429.902,3.049,6.792,13.856,450.201,0.805,24.153,810.953,4.135,-12.977,False,False,stable,False,27,26131.821,48660.618,-41.486,-68.577,1.808,0.69,46.479,4.762,Upper Middle Income
Albania,ALB,2020,14869.22,Europe,-2.757,3.935,11.745,23.481,2.246,15026.026,14630.785,13712.65,-1.044,1.63,8.434,387.379,2.892,126.901,596.239,0.788,-9.949,False,False,stable,False,28,24296.883,46497.155,-38.802,-68.021,-5.789,3.032,47.887,4.762,Upper Middle Income
Albania,ALB,2021,16353.809,Europe,9.984,9.624,18.768,32.082,3.5,15504.602,15147.637,14109.878,5.477,7.963,15.903,414.704,4.553,127.185,760.494,0.786,-12.52,False,True,recovery,False,29,25822.605,49900.808,-36.669,-67.227,4.844,5.141,50.235,4.762,Upper Middle Income
Albania,ALB,2022,17352.854,Europe,6.109,13.486,21.295,37.965,3.937,16191.961,15756.948,14587.388,7.17,10.128,18.958,563.082,4.697,116.776,1073.806,0.856,-14.313,False,False,growth,False,30,26398.355,51421.287,-34.265,-66.254,3.104,3.005,50.943,7.143,Upper Middle Income
Albania,ALB,2023,18244.293,Europe,5.137,22.698,22.297,43.35,4.108,17316.985,16422.191,15139.109,5.355,11.095,20.511,637.277,4.724,112.634,1403.806,0.888,-18.499,False,False,growth,False,31,26897.137,51010.852,-32.17,-64.234,2.098,3.039,50.0,7.317,Upper Middle Income
Algeria,DZA,1990,11728.546,Africa,,,,,,11728.546,11728.546,11728.546,0.0,0.0,0.0,,,,,,,False,False,stable,False,0,16421.927,4599.644,-28.58,154.988,,,57.789,93.878,Upper Middle Income
Algeria,DZA,1991,11314.864,Africa,-3.527,,,,,11521.705,11521.705,11521.705,-1.795,-1.795,-1.795,,,,292.517,,,False,False,stable,False,0,16105.559,4578.79,-29.746,147.115,-1.126,-2.401,57.5,94.0,Upper Middle Income
Algeria,DZA,1992,11241.415,Africa,-0.649,,,,,11428.275,11428.275,11428.275,-1.635,-1.635,-1.635,-150.136,2.035,97.458,262.623,-1.026,,False,False,stable,False,0,16042.165,4504.344,-29.926,149.568,-0.726,0.077,58.5,94.0,Upper Middle Income
Algeria,DZA,1993,10743.706,Africa,-4.427,-8.397,,,,11099.995,11257.133,11257.133,-3.21,-4.561,-4.561,-132.286,1.974,68.815,403.905,-1.452,,False,False,stable,False,0,16063.7,4422.785,-33.118,142.917,-0.146,-4.281,57.0,92.0,Upper Middle Income
Algeria,DZA,1994,10414.035,Africa,-3.069,-7.961,,,,10799.719,11088.513,11088.513,-3.571,-6.083,-6.083,-169.881,1.615,55.328,514.312,-1.806,-11.208,True,False,recession,False,0,16231.993,4391.06,-35.843,137.164,0.284,-3.353,55.721,92.0,Upper Middle Income
Algeria,DZA,1995,10588.443,Africa,1.675,-5.809,-9.721,,-2.024,10582.061,10860.493,11005.168,0.06,-2.505,-3.787,-198.32,2.485,124.266,399.54,-0.804,-7.961,False,False,stable,False,1,16509.588,4456.01,-35.865,137.622,2.393,-0.719,54.455,90.0,Upper Middle Income
Algeria,DZA,1996,10808.879,Africa,2.082,0.607,-4.472,,-0.911,10603.786,10759.296,10977.127,1.934,0.461,-1.533,-164.609,2.86,325.892,309.651,-0.307,-7.36,False,False,stable,False,2,16825.344,4613.259,-35.758,134.3,2.884,-0.802,55.446,90.0,Upper Middle Income
Algeria,DZA,1997,10725.968,Africa,-0.767,2.995,-4.585,,-0.934,10707.763,10656.206,10945.732,0.17,0.655,-2.008,-102.143,2.858,317.156,157.377,-0.315,-3.653,False,False,stable,False,3,17646.345,4835.884,-39.217,121.8,3.924,-4.691,52.941,88.0,Upper Middle Income
Algeria,DZA,1998,11094.888,Africa,3.44,4.783,3.269,,0.645,10876.578,10726.443,10962.305,2.007,3.435,1.209,-16.426,2.584,384.508,254.554,0.26,-6.137,False,True,recovery,False,4,17930.839,4902.447,-38.124,126.313,2.035,1.404,54.902,90.0,Upper Middle Income
Algeria,DZA,1999,11292.037,Africa,1.777,4.47,8.431,,1.632,11037.631,10902.043,10995.278,2.305,3.577,2.699,122.918,1.52,92.644,286.056,1.079,-6.231,False,False,stable,False,5,18258.355,4941.264,-38.154,128.525,1.717,0.06,55.882,90.0,Upper Middle Income
Algeria,DZA,2000,11558.221,Africa,2.357,7.759,9.159,-1.452,1.768,11315.049,11095.999,10978.246,2.149,4.166,5.283,184.778,1.554,87.444,343.308,1.143,-7.201,False,False,stable,False,6,18926.987,5034.814,-38.933,129.566,3.219,-0.862,53.883,88.0,Upper Middle Income
Algeria,DZA,2001,11742.595,Africa,1.595,5.838,8.638,3.78,1.671,11530.951,11282.742,11021.019,1.835,4.076,6.547,190.349,1.546,91.998,397.72,1.086,-8.658,False,False,stable,False,7,19190.346,5180.916,-38.81,126.651,1.772,-0.177,53.883,88.0,Upper Middle Income
Algeria,DZA,2002,12213.126,Africa,4.007,8.157,13.865,8.644,2.631,11837.981,11580.173,11118.19,3.169,5.466,9.848,242.087,1.052,39.91,431.861,2.503,-9.156,False,False,growth,False,8,19601.423,5269.126,-37.693,131.787,1.932,2.075,54.589,88.0,Upper Middle Income
Algeria,DZA,2003,12835.182,Africa,5.093,11.048,15.686,19.467,2.957,12263.634,11928.232,11327.337,4.661,7.603,13.312,322.745,1.523,51.335,608.243,1.947,-12.023,False,False,growth,False,9,20061.665,5386.136,-36.021,138.3,2.558,2.535,54.106,88.0,Upper Middle Income
Algeria,DZA,2004,13226.765,Africa,3.051,12.639,17.134,27.009,3.213,12758.358,12315.178,11608.61,3.671,7.402,13.939,367.502,1.373,42.634,709.339,2.344,-12.615,False,False,growth,False,10,20914.556,5630.244,-36.758,134.923,4.326,-1.275,54.106,88.0,Upper Middle Income
Algeria,DZA,2005,13738.496,Africa,3.869,12.49,18.863,29.75,3.517,13266.814,12751.233,11923.616,3.555,7.742,15.221,411.5,1.3,36.898,792.902,2.708,-14.528,False,False,growth,False,11,21513.315,5871.69,-36.14,133.979,3.588,0.281,53.623,88.0,Upper Middle Income
Algeria,DZA,2006,13920.694,Africa,1.326,8.457,18.549,28.789,3.462,13628.652,13186.853,12234.797,2.143,5.565,13.78,435.837,1.401,40.391,692.142,2.474,-12.266,False,False,stable,False,12,22702.237,6080.572,-38.681,128.937,4.234,-2.908,53.365,88.0,Upper Middle Income
Algeria,DZA,2007,14114.675,Africa,1.393,6.713,15.57,31.593,2.936,13924.622,13567.162,12573.668,1.365,4.036,12.256,407.965,1.621,55.007,525.779,1.817,-9.065,False,False,stable,False,13,23408.29,6336.346,-39.702,122.757,3.908,-2.515,51.923,88.0,Upper Middle Income
Algeria,DZA,2008,14206.776,Africa,0.653,3.409,10.686,28.048,2.051,14080.715,13841.481,12884.857,0.895,2.639,10.259,327.314,1.343,65.259,388.211,1.531,-6.898,False,False,stable,False,14,23609.286,6474.829,-39.825,119.415,2.303,-1.651,51.429,86.0,Upper Middle Income
Algeria,DZA,2009,14104.428,Africa,-0.72,1.32,6.636,24.906,1.293,14141.96,14017.014,13166.096,-0.265,0.624,7.127,224.926,1.667,127.792,187.108,0.782,-3.296,False,False,stable,False,15,22804.125,6378.308,-38.15,121.131,-1.433,0.713,52.133,90.0,Upper Middle Income
Algeria,DZA,2010,14496.421,Africa,2.779,2.705,5.517,25.421,1.08,14269.208,14168.599,13459.916,1.592,2.314,7.701,163.559,1.272,117.091,210.599,0.853,-3.972,False,True,recovery,False,16,23393.014,6454.115,-38.031,124.607,3.046,-0.267,51.185,88.0,Upper Middle Income
Algeria,DZA,2011,14641.964,Africa,1.004,3.063,5.181,24.691,1.015,14414.271,14312.853,13749.853,1.58,2.299,6.488,147.92,1.265,123.785,242.888,0.807,-3.671,False,False,stable,False,17,23939.923,6418.481,-38.839,128.122,2.571,-1.567,50.943,90.0,Upper Middle Income
Algeria,DZA,2012,14697.54,Africa,0.38,4.205,4.129,20.342,0.813,14611.975,14429.426,13998.294,0.586,1.858,4.995,130.413,1.272,155.26,263.032,0.644,-4.035,False,False,stable,False,18,24092.886,6761.483,-38.996,117.372,2.044,-1.664,50.472,88.0,Upper Middle Income
Algeria,DZA,2013,14778.191,Africa,0.549,1.944,4.022,15.138,0.792,14705.898,14543.709,14192.595,0.492,1.612,4.126,115.428,1.276,159.828,266.225,0.625,-4.559,False,False,stable,False,19,24184.98,6682.754,-38.895,121.139,1.543,-0.995,50.235,88.235,Upper Middle Income
Algeria,DZA,2014,15073.763,Africa,2.0,2.949,6.873,13.964,1.338,14849.831,14737.576,14377.295,1.508,2.281,4.844,154.075,1.021,76.05,214.226,1.314,-3.83,False,False,stable,False,20,24398.764,6698.214,-38.219,125.042,1.854,0.146,50.704,90.196,Upper Middle Income
Algeria,DZA,2015,15239.518,Africa,1.1,3.688,5.126,10.926,1.005,15030.491,14886.195,14527.397,1.391,2.373,4.902,171.243,0.632,62.813,258.323,1.59,-3.921,False,False,stable,False,21,24529.067,6667.517,-37.872,128.564,1.521,-0.421,51.174,90.196,Upper Middle Income
Algeria,DZA,2016,15511.686,Africa,1.786,4.963,5.94,11.429,1.161,15274.989,15060.14,14686.496,1.55,2.998,5.619,161.282,0.722,62.073,334.376,1.609,-5.249,False,False,stable,False,22,24834.897,6691.153,-37.541,131.824,1.784,0.002,50.235,90.196,Upper Middle Income
Algeria,DZA,2017,15427.664,Africa,-0.542,2.348,4.968,9.302,0.974,15392.956,15206.164,14817.795,0.225,1.457,4.116,159.985,1.025,104.789,293.347,0.953,-4.729,False,False,stable,False,23,25301.11,6803.861,-39.024,126.749,2.099,-2.64,48.826,90.196,Upper Middle Income
Algeria,DZA,2018,15343.426,Africa,-0.546,0.682,3.825,8.001,0.754,15427.592,15319.211,14931.46,-0.546,0.158,2.759,129.536,1.235,162.652,170.287,0.614,-2.823,False,False,stable,False,24,25773.885,6866.433,-40.469,123.456,1.983,-2.529,46.948,88.235,Upper Middle Income
Algeria,DZA,2019,15199.199,Africa,-0.94,-2.015,0.832,7.762,0.166,15323.43,15344.299,15040.937,-0.811,-0.946,1.052,69.067,1.197,697.372,129.424,0.143,-2.015,False,False,stable,False,25,26131.821,6884.267,-41.836,120.782,1.808,-2.748,45.54,90.196,Upper Middle Income
Algeria,DZA,2020,14194.155,Africa,-6.612,-7.995,-6.86,-2.085,-1.411,14912.26,15135.226,15010.711,-4.816,-6.218,-5.44,-91.993,3.122,227.76,538.585,-0.439,-8.494,False,False,crisis,True,26,24296.883,6341.948,-41.58,123.814,-5.789,-0.824,45.07,88.235,Upper Middle Income
Algeria,DZA,2021,14496.865,Africa,2.133,-5.517,-6.542,-0.991,-1.344,14630.073,14932.262,14996.201,-0.911,-2.916,-3.33,-206.018,3.212,246.824,552.292,-0.405,-7.995,False,True,recovery,False,27,25822.605,6522.318,-43.86,122.266,4.844,-2.711,44.131,88.235,Upper Middle Income
Algeria,DZA,2022,14782.2,Africa,1.968,-2.744,-4.184,0.576,-0.851,14491.073,14803.169,15004.667,2.009,-0.142,-1.483,-166.029,3.54,442.793,477.985,-0.226,-7.49,False,False,stable,False,28,26398.355,6619.55,-44.003,123.311,3.104,-1.136,44.811,88.235,Upper Middle Income
